"name"	"taxRank"	"taxID"	"Max"	"K1.cladeReads"	"K2.cladeReads"	"W1.cladeReads"	"Max.1"	"K1.cladeReads.."	"K2.cladeReads.."	"W1.cladeReads.."	"Max.2"	"K1.cladeReads.rank"	"K2.cladeReads.rank"	"W1.cladeReads.rank"	"Max.3"	"K1.cladeReads.z.score"	"K2.cladeReads.z.score"	"W1.cladeReads.z.score"	"Max.4"	"K1.cladeReads...z.score"	"K2.cladeReads...z.score"	"W1.cladeReads...z.score"	"lineage"
"Xenorhabdus"	"G"	626	1	NA	1	NA	0.0001784	NA	0.0001784	NA	263.5	NA	263.5	NA	1	NA	1	NA	0.1784	NA	0.1784	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Morganellaceae"
"Gallaecimonas"	"G"	745410	1	NA	1	NA	0.0001784	NA	0.0001784	NA	263.5	NA	263.5	NA	1	NA	1	NA	0.1784	NA	0.1784	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Enterobacterales>Gallaecimonadaceae"
"Gallibacterium"	"G"	155493	1	NA	1	1	0.000392	NA	0.0001784	0.000392	263.5	NA	263.5	428.5	NA	NA	NA	NA	0.2136	NA	NA	0.2136	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Pasteurellales>Pasteurellaceae"
"Ferrimonas"	"G"	44011	6	NA	6	1	0.001071	NA	0.001071	0.000392	96	NA	96	428.5	3.372	NA	3.372	NA	0.679	NA	0.679	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Alteromonadales>Ferrimonadaceae"
"Pseudoalteromonas"	"G"	53246	2	NA	1	2	0.000784	NA	0.0001784	0.000784	259	NA	263.5	259	0.6745	NA	NA	0.6745	0.6056	NA	NA	0.6056	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Alteromonadales>Pseudoalteromonadaceae"
"Stutzerimonas"	"G"	2901164	2	NA	1	2	0.000784	NA	0.0001784	0.000784	259	NA	263.5	259	0.6745	NA	NA	0.6745	0.6056	NA	NA	0.6056	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Pseudomonadaceae"
"Marinobacter"	"G"	2742	5	NA	1	5	0.00196	NA	0.0001784	0.00196	139.5	NA	263.5	139.5	2.698	NA	NA	2.698	1.782	NA	NA	1.782	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Pseudomonadales>Marinobacteraceae"
"Moraxella"	"G"	475	2	NA	1	2	0.000784	NA	0.0001784	0.000784	259	NA	263.5	259	0.6745	NA	NA	0.6745	0.6056	NA	NA	0.6056	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Moraxellales>Moraxellaceae"
"Xanthomonas"	"G"	338	2	NA	2	2	0.000784	NA	0.0003569	0.000784	166	NA	166	259	NA	NA	NA	NA	0.4271	NA	NA	0.4271	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Lysobacterales>Lysobacteraceae"
"Nitrosococcus"	"G"	1227	1	NA	1	NA	0.0001784	NA	0.0001784	NA	263.5	NA	263.5	NA	1	NA	1	NA	0.1784	NA	0.1784	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Chromatiales>Chromatiaceae"
"Wenzhouxiangella"	"G"	1676142	1	NA	1	NA	0.0001784	NA	0.0001784	NA	263.5	NA	263.5	NA	1	NA	1	NA	0.1784	NA	0.1784	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Chromatiales>Wenzhouxiangellaceae"
"Francisella"	"G"	262	1	NA	1	NA	0.0001784	NA	0.0001784	NA	263.5	NA	263.5	NA	1	NA	1	NA	0.1784	NA	0.1784	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Thiotrichales>Francisellaceae"
"Microbulbifer"	"G"	48073	1	NA	1	NA	0.0001784	NA	0.0001784	NA	263.5	NA	263.5	NA	1	NA	1	NA	0.1784	NA	0.1784	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Cellvibrionales>Microbulbiferaceae"
"Gilliamella"	"G"	1193503	1	NA	1	NA	0.0001784	NA	0.0001784	NA	263.5	NA	263.5	NA	1	NA	1	NA	0.1784	NA	0.1784	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Gammaproteobacteria>Orbales>Orbaceae"
"Rhizobium"	"G"	379	1	NA	1	1	0.000392	NA	0.0001784	0.000392	263.5	NA	263.5	428.5	NA	NA	NA	NA	0.2136	NA	NA	0.2136	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Rhizobiaceae>Rhizobium/Agrobacterium&nbsp;group"
"Bradyrhizobium"	"G"	374	3	NA	2	3	0.001176	NA	0.0003569	0.001176	166	NA	166	203.5	0.6745	NA	NA	0.6745	0.8191	NA	NA	0.8191	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Nitrobacteraceae"
"Labrenzia"	"G"	478070	1	NA	1	NA	0.0001784	NA	0.0001784	NA	263.5	NA	263.5	NA	1	NA	1	NA	0.1784	NA	0.1784	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Stappiaceae"
"Devosia"	"G"	46913	2	NA	1	2	0.000784	NA	0.0001784	0.000784	259	NA	263.5	259	0.6745	NA	NA	0.6745	0.6056	NA	NA	0.6056	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Hyphomicrobiales>Devosiaceae"
"Kordiimonas"	"G"	288021	2	NA	2	NA	0.0003569	NA	0.0003569	NA	166	NA	166	NA	2	NA	2	NA	0.3569	NA	0.3569	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Kordiimonadales>Kordiimonadaceae"
"Wolbachia"	"G"	953	1	NA	1	NA	0.0001784	NA	0.0001784	NA	263.5	NA	263.5	NA	1	NA	1	NA	0.1784	NA	0.1784	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rickettsiales>Anaplasmataceae>Wolbachieae"
"Thalassospira"	"G"	168934	1	NA	1	NA	0.0001784	NA	0.0001784	NA	263.5	NA	263.5	NA	1	NA	1	NA	0.1784	NA	0.1784	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodospirillales>Thalassospiraceae"
"Ruegeria"	"G"	97050	1	NA	1	1	0.000392	NA	0.0001784	0.000392	263.5	NA	263.5	428.5	NA	NA	NA	NA	0.2136	NA	NA	0.2136	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Rhodobacterales>Roseobacteraceae"
"Caenibius"	"G"	2827482	1	NA	1	NA	0.0001784	NA	0.0001784	NA	263.5	NA	263.5	NA	1	NA	1	NA	0.1784	NA	0.1784	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Sphingomonadales>Erythrobacteraceae"
"Caulobacter"	"G"	75	1	NA	1	NA	0.0001784	NA	0.0001784	NA	263.5	NA	263.5	NA	1	NA	1	NA	0.1784	NA	0.1784	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Caulobacterales>Caulobacteraceae"
"Parvularcula"	"G"	208215	1	NA	1	NA	0.0001784	NA	0.0001784	NA	263.5	NA	263.5	NA	1	NA	1	NA	0.1784	NA	0.1784	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Alphaproteobacteria>Parvularculales>Parvularculaceae"
"Methylobacillus"	"G"	404	1	NA	1	NA	0.0001784	NA	0.0001784	NA	263.5	NA	263.5	NA	1	NA	1	NA	0.1784	NA	0.1784	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Betaproteobacteria>Nitrosomonadales>Methylophilaceae"
"Candidatus Methylopumilus"	"G"	1679002	1	NA	1	NA	0.0001784	NA	0.0001784	NA	263.5	NA	263.5	NA	1	NA	1	NA	0.1784	NA	0.1784	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Betaproteobacteria>Nitrosomonadales>Methylophilaceae"
"Chitiniphilus"	"G"	585890	1	NA	1	NA	0.0001784	NA	0.0001784	NA	263.5	NA	263.5	NA	1	NA	1	NA	0.1784	NA	0.1784	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Pseudomonadota>Betaproteobacteria>Neisseriales>Chitinibacteraceae"
"Mailhella"	"G"	1981028	4	NA	4	1	0.0007137	NA	0.0007137	0.000392	120	NA	120	428.5	2.023	NA	2.023	NA	0.3217	NA	0.3217	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Thermodesulfobacteriota>Desulfovibrionia>Desulfovibrionales>Desulfovibrionaceae"
"Lawsonia"	"G"	41707	3	NA	3	NA	0.0005353	NA	0.0005353	NA	137.5	NA	137.5	NA	3	NA	3	NA	0.5353	NA	0.5353	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Thermodesulfobacteriota>Desulfovibrionia>Desulfovibrionales>Desulfovibrionaceae"
"Pseudodesulfovibrio"	"G"	2035811	1	NA	1	1	0.000392	NA	0.0001784	0.000392	263.5	NA	263.5	428.5	NA	NA	NA	NA	0.2136	NA	NA	0.2136	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Thermodesulfobacteriota>Desulfovibrionia>Desulfovibrionales>Desulfovibrionaceae"
"Desulfonema"	"G"	45654	3	NA	3	NA	0.0005353	NA	0.0005353	NA	137.5	NA	137.5	NA	3	NA	3	NA	0.5353	NA	0.5353	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Thermodesulfobacteriota>Desulfobacteria>Desulfobacterales>Desulfococcaceae"
"Geomonas"	"G"	2651583	1	NA	1	NA	0.0001784	NA	0.0001784	NA	263.5	NA	263.5	NA	1	NA	1	NA	0.1784	NA	0.1784	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Thermodesulfobacteriota>Desulfuromonadia>Geobacterales>Geobacteraceae"
"Brucepastera"	"G"	2967962	1	NA	1	NA	0.0001784	NA	0.0001784	NA	263.5	NA	263.5	NA	1	NA	1	NA	0.1784	NA	0.1784	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Spirochaetota>Spirochaetia>Spirochaetales>Treponemataceae"
"Sulfurimonas"	"G"	202746	4	NA	4	3	0.001176	NA	0.0007137	0.001176	120	NA	120	203.5	0.6745	NA	0.6745	NA	0.4623	NA	NA	0.4623	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Campylobacterota>Epsilonproteobacteria>Campylobacterales>Sulfurimonadaceae"
"Arcobacter"	"G"	28196	2	NA	2	2	0.000784	NA	0.0003569	0.000784	166	NA	166	259	NA	NA	NA	NA	0.4271	NA	NA	0.4271	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Campylobacterota>Epsilonproteobacteria>Campylobacterales>Arcobacteraceae"
"Aliarcobacter"	"G"	2321111	1	NA	1	1	0.000392	NA	0.0001784	0.000392	263.5	NA	263.5	428.5	NA	NA	NA	NA	0.2136	NA	NA	0.2136	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Campylobacterota>Epsilonproteobacteria>Campylobacterales>Arcobacteraceae"
"Helicobacter"	"G"	209	1	NA	1	NA	0.0001784	NA	0.0001784	NA	263.5	NA	263.5	NA	1	NA	1	NA	0.1784	NA	0.1784	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Campylobacterota>Epsilonproteobacteria>Campylobacterales>Helicobacteraceae"
"Nitrosophilus"	"G"	2795692	1	NA	1	NA	0.0001784	NA	0.0001784	NA	263.5	NA	263.5	NA	1	NA	1	NA	0.1784	NA	0.1784	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Campylobacterota>Epsilonproteobacteria>Nautiliales>Nitratiruptoraceae"
"Hippea"	"G"	84404	2	NA	2	NA	0.0003569	NA	0.0003569	NA	166	NA	166	NA	2	NA	2	NA	0.3569	NA	0.3569	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Campylobacterota>Desulfurellia>Desulfurellales>Hippeaceae"
"Aureliella"	"G"	2795605	1	NA	1	NA	0.0001784	NA	0.0001784	NA	263.5	NA	263.5	NA	1	NA	1	NA	0.1784	NA	0.1784	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>PVC&nbsp;group>Planctomycetota>Planctomycetia>Pirellulales>Pirellulaceae"
"Candidatus Kuenenia"	"G"	380738	3	NA	1	3	0.001176	NA	0.0001784	0.001176	203.5	NA	263.5	203.5	1.349	NA	NA	1.349	0.9976	NA	NA	0.9976	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>PVC&nbsp;group>Planctomycetota>Candidatus&nbsp;Brocadiia>Candidatus&nbsp;Brocadiales>Candidatus&nbsp;Brocadiaceae"
"Chlamydia"	"G"	810	1	NA	1	NA	0.0001784	NA	0.0001784	NA	263.5	NA	263.5	NA	1	NA	1	NA	0.1784	NA	0.1784	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>PVC&nbsp;group>Chlamydiota>Chlamydiia>Chlamydiales>Chlamydiaceae>Chlamydia/Chlamydophila&nbsp;group"
"Pigmentibacter"	"G"	2838409	1	NA	1	NA	0.0001784	NA	0.0001784	NA	263.5	NA	263.5	NA	1	NA	1	NA	0.1784	NA	0.1784	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Bdellovibrionota>Oligoflexia>Silvanigrellales>Silvanigrellaceae"
"Bacteriovorax"	"G"	146784	1	NA	1	NA	0.0001784	NA	0.0001784	NA	263.5	NA	263.5	NA	1	NA	1	NA	0.1784	NA	0.1784	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Bdellovibrionota>Bacteriovoracia>Bacteriovoracales>Bacteriovoracaceae"
"Mucispirillum"	"G"	248038	1	NA	1	1	0.000392	NA	0.0001784	0.000392	263.5	NA	263.5	428.5	NA	NA	NA	NA	0.2136	NA	NA	0.2136	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Deferribacterota>Deferribacteres>Deferribacterales>Mucispirillaceae"
"Anaeromyxobacter"	"G"	161492	1	NA	1	NA	0.0001784	NA	0.0001784	NA	263.5	NA	263.5	NA	1	NA	1	NA	0.1784	NA	0.1784	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Myxococcota>Myxococcia>Myxococcales>Cystobacterineae>Anaeromyxobacteraceae"
"Dissulfurispira"	"G"	2811506	1	NA	1	NA	0.0001784	NA	0.0001784	NA	263.5	NA	263.5	NA	1	NA	1	NA	0.1784	NA	0.1784	NA	"cellular&nbsp;organisms>Bacteria>Pseudomonadati>Nitrospirota>Thermodesulfovibrionia>Thermodesulfovibrionales>Dissulfurispiraceae"
"Pseudobutyrivibrio"	"G"	46205	4	NA	3	4	0.001568	NA	0.0005353	0.001568	137.5	NA	137.5	167.5	0.6745	NA	NA	0.6745	1.033	NA	NA	1.033	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae"
"Stomatobaculum"	"G"	1213720	4	NA	2	4	0.001568	NA	0.0003569	0.001568	166	NA	166	167.5	0.6745	NA	NA	0.6745	1.211	NA	NA	1.211	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae"
"Candidatus Epulonipiscium"	"G"	2383	1	NA	1	NA	0.0001784	NA	0.0001784	NA	263.5	NA	263.5	NA	1	NA	1	NA	0.1784	NA	0.1784	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Lachnospirales>Lachnospiraceae"
"Cellulosilyticum"	"G"	698776	3	NA	1	3	0.001176	NA	0.0001784	0.001176	203.5	NA	263.5	203.5	1.349	NA	NA	1.349	0.9976	NA	NA	0.9976	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Lachnospirales>Cellulosilyticaceae"
"Thermocaproicibacter"	"G"	3048127	1	NA	1	1	0.000392	NA	0.0001784	0.000392	263.5	NA	263.5	428.5	NA	NA	NA	NA	0.2136	NA	NA	0.2136	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Eubacteriales>Oscillospiraceae"
"Bengtsoniella"	"G"	3389389	1	NA	1	NA	0.0001784	NA	0.0001784	NA	263.5	NA	263.5	NA	1	NA	1	NA	0.1784	NA	0.1784	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Eubacteriales>Oscillospiraceae"
"Acetivibrio"	"G"	35829	1	NA	1	NA	0.0001784	NA	0.0001784	NA	263.5	NA	263.5	NA	1	NA	1	NA	0.1784	NA	0.1784	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Eubacteriales>Oscillospiraceae"
"Acetobacterium"	"G"	33951	2	NA	2	1	0.000392	NA	0.0003569	0.000392	166	NA	166	428.5	0.6745	NA	0.6745	NA	0.0351	NA	NA	0.0351	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Eubacteriales>Eubacteriaceae"
"Crassaminicella"	"G"	1848399	2	NA	2	NA	0.0003569	NA	0.0003569	NA	166	NA	166	NA	2	NA	2	NA	0.3569	NA	0.3569	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Eubacteriales>Clostridiaceae"
"Fenollaria"	"G"	1686313	4	NA	4	3	0.001176	NA	0.0007137	0.001176	120	NA	120	203.5	0.6745	NA	0.6745	NA	0.4623	NA	NA	0.4623	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Eubacteriales>Eubacteriales&nbsp;incertae&nbsp;sedis"
"Desulfitobacterium"	"G"	36853	1	NA	1	NA	0.0001784	NA	0.0001784	NA	263.5	NA	263.5	NA	1	NA	1	NA	0.1784	NA	0.1784	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Eubacteriales>Desulfitobacteriaceae"
"Dehalobacter"	"G"	56112	1	NA	1	NA	0.0001784	NA	0.0001784	NA	263.5	NA	263.5	NA	1	NA	1	NA	0.1784	NA	0.1784	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Eubacteriales>Desulfitobacteriaceae"
"Desulforamulus"	"G"	2916693	1	NA	1	1	0.000392	NA	0.0001784	0.000392	263.5	NA	263.5	428.5	NA	NA	NA	NA	0.2136	NA	NA	0.2136	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Eubacteriales>Peptococcaceae"
"Peptostreptococcus"	"G"	1257	6	NA	6	2	0.001071	NA	0.001071	0.000784	96	NA	96	259	1.349	NA	1.349	NA	0.287	NA	0.287	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Peptostreptococcales>Peptostreptococcaceae"
"Aminipila"	"G"	2060094	5	NA	4	5	0.00196	NA	0.0007137	0.00196	120	NA	120	139.5	0.6745	NA	NA	0.6745	1.178	NA	NA	1.178	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Peptostreptococcales>Anaerovoracaceae"
"Sinanaerobacter"	"G"	2886866	1	NA	1	NA	0.0001784	NA	0.0001784	NA	263.5	NA	263.5	NA	1	NA	1	NA	0.1784	NA	0.1784	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Peptostreptococcales>Anaerovoracaceae"
"Acetoanaerobium"	"G"	186831	3	NA	3	1	0.0005353	NA	0.0005353	0.000392	137.5	NA	137.5	428.5	1.349	NA	1.349	NA	0.1433	NA	0.1433	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Peptostreptococcales>Filifactoraceae"
"Geosporobacter"	"G"	390805	1	NA	1	NA	0.0001784	NA	0.0001784	NA	263.5	NA	263.5	NA	1	NA	1	NA	0.1784	NA	0.1784	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Peptostreptococcales>Thermotaleaceae"
"Koleobacter"	"G"	2786989	1	NA	1	NA	0.0001784	NA	0.0001784	NA	263.5	NA	263.5	NA	1	NA	1	NA	0.1784	NA	0.1784	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Clostridia>Koleobacterales>Koleobacteraceae"
"Tannockella"	"G"	2943184	2	NA	1	2	0.000784	NA	0.0001784	0.000784	259	NA	263.5	259	0.6745	NA	NA	0.6745	0.6056	NA	NA	0.6056	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Erysipelotrichia>Erysipelotrichales>Coprobacillaceae"
"Allobaculum"	"G"	174708	2	NA	2	1	0.000392	NA	0.0003569	0.000392	166	NA	166	428.5	0.6745	NA	0.6745	NA	0.0351	NA	NA	0.0351	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Erysipelotrichia>Erysipelotrichales>Erysipelotrichaceae"
"Weissella"	"G"	46255	5	NA	5	1	0.0008922	NA	0.0008922	0.000392	105	NA	105	428.5	2.698	NA	2.698	NA	0.5002	NA	0.5002	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Lactobacillales>Lactobacillaceae"
"Companilactobacillus"	"G"	2767879	1	NA	1	NA	0.0001784	NA	0.0001784	NA	263.5	NA	263.5	NA	1	NA	1	NA	0.1784	NA	0.1784	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Lactobacillales>Lactobacillaceae"
"Liquorilactobacillus"	"G"	2767888	2	NA	1	2	0.000784	NA	0.0001784	0.000784	259	NA	263.5	259	0.6745	NA	NA	0.6745	0.6056	NA	NA	0.6056	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Lactobacillales>Lactobacillaceae"
"Loigolactobacillus"	"G"	2767889	1	NA	1	1	0.000392	NA	0.0001784	0.000392	263.5	NA	263.5	428.5	NA	NA	NA	NA	0.2136	NA	NA	0.2136	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Lactobacillales>Lactobacillaceae"
"Tetragenococcus"	"G"	51668	1	NA	1	NA	0.0001784	NA	0.0001784	NA	263.5	NA	263.5	NA	1	NA	1	NA	0.1784	NA	0.1784	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Lactobacillales>Enterococcaceae"
"Alloiococcus"	"G"	1651	2	NA	2	1	0.000392	NA	0.0003569	0.000392	166	NA	166	428.5	0.6745	NA	0.6745	NA	0.0351	NA	NA	0.0351	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Lactobacillales>Carnobacteriaceae"
"Trichococcus"	"G"	82802	1	NA	1	NA	0.0001784	NA	0.0001784	NA	263.5	NA	263.5	NA	1	NA	1	NA	0.1784	NA	0.1784	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Lactobacillales>Carnobacteriaceae"
"Granulicatella"	"G"	117563	1	NA	1	1	0.000392	NA	0.0001784	0.000392	263.5	NA	263.5	428.5	NA	NA	NA	NA	0.2136	NA	NA	0.2136	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Lactobacillales>Carnobacteriaceae"
"Oceanobacillus"	"G"	182709	17	NA	17	2	0.003033	NA	0.003033	0.000784	66.5	NA	66.5	259	5.059	NA	5.059	NA	1.935	NA	1.935	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Bacillaceae"
"Virgibacillus"	"G"	84406	3	NA	3	2	0.000784	NA	0.0005353	0.000784	137.5	NA	137.5	259	0.6745	NA	0.6745	NA	0.2487	NA	NA	0.2487	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Bacillaceae"
"Cytobacillus"	"G"	2675230	3	NA	3	NA	0.0005353	NA	0.0005353	NA	137.5	NA	137.5	NA	3	NA	3	NA	0.5353	NA	0.5353	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Bacillaceae"
"Heyndrickxia"	"G"	2837504	2	NA	2	1	0.000392	NA	0.0003569	0.000392	166	NA	166	428.5	0.6745	NA	0.6745	NA	0.0351	NA	NA	0.0351	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Bacillaceae"
"Pradoshia"	"G"	2651279	1	NA	1	NA	0.0001784	NA	0.0001784	NA	263.5	NA	263.5	NA	1	NA	1	NA	0.1784	NA	0.1784	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Bacillaceae"
"Ectobacillus"	"G"	2837502	1	NA	1	1	0.000392	NA	0.0001784	0.000392	263.5	NA	263.5	428.5	NA	NA	NA	NA	0.2136	NA	NA	0.2136	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Bacillaceae"
"Alkalihalobacillus"	"G"	2675234	1	NA	1	NA	0.0001784	NA	0.0001784	NA	263.5	NA	263.5	NA	1	NA	1	NA	0.1784	NA	0.1784	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Bacillaceae"
"Metabacillus"	"G"	2675233	1	NA	1	NA	0.0001784	NA	0.0001784	NA	263.5	NA	263.5	NA	1	NA	1	NA	0.1784	NA	0.1784	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Bacillaceae"
"Tepidibacillus"	"G"	1494427	1	NA	1	1	0.000392	NA	0.0001784	0.000392	263.5	NA	263.5	428.5	NA	NA	NA	NA	0.2136	NA	NA	0.2136	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Bacillaceae"
"Kurthia"	"G"	1649	3	NA	3	NA	0.0005353	NA	0.0005353	NA	137.5	NA	137.5	NA	3	NA	3	NA	0.5353	NA	0.5353	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Caryophanaceae"
"Sporosarcina"	"G"	1569	2	NA	2	1	0.000392	NA	0.0003569	0.000392	166	NA	166	428.5	0.6745	NA	0.6745	NA	0.0351	NA	NA	0.0351	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Caryophanaceae"
"Planococcus"	"G"	1372	1	NA	1	NA	0.0001784	NA	0.0001784	NA	263.5	NA	263.5	NA	1	NA	1	NA	0.1784	NA	0.1784	NA	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Caryophanaceae"
"Macrococcus"	"G"	69965	2	NA	2	2	0.000784	NA	0.0003569	0.000784	166	NA	166	259	NA	NA	NA	NA	0.4271	NA	NA	0.4271	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Staphylococcaceae"
"Mammaliicoccus"	"G"	2803850	2	NA	2	1	0.000392	NA	0.0003569	0.000392	166	NA	166	428.5	0.6745	NA	0.6745	NA	0.0351	NA	NA	0.0351	"cellular&nbsp;organisms>Bacteria>Bacillati>Bacillota>Bacilli>Bacillales>Staphylococcaceae"
